,0,1,2
356,5641,11,1392
357,5924,11,1404
358,2286,64,1126
359,2208,45,1118
360,7770,68,1511
361,8544,18,1644
362,6688,27,1497
363,550,50,1075
364,7863,56,1568
365,5070,14,1403
366,3482,70,1254
367,2471,130,1185
368,6270,41,1473
369,5947,91,1456
370,8816,40,1697
371,5735,14,1442
372,1653,45,1140
373,27,97,1001
374,2909,130,1205
375,370,89,1061
376,7657,128,1557
377,8816,50,1696
378,7257,59,1530
379,8277,84,1604
380,3437,88,1250
381,8124,14,1588
382,3914,88,1325
383,515,94,1073
384,4577,131,1373
385,4882,131,1392
386,2613,5,1188
387,2683,91,1196
388,7042,97,1518
389,6,34,987
390,6283,49,1473
391,8346,40,1617
392,6481,80,1488
393,3155,92,1227
394,1769,45,1145
395,7586,26,1549
396,5769,40,1447
397,3177,115,1272
398,5544,52,1481
399,622,26,1130
400,331,92,1112
401,3521,19,1317
402,7669,59,1603
403,7551,40,1597
404,1514,54,1182
405,6484,86,1540
406,1025,81,1159
407,8051,70,1631
408,3731,5,1352
409,4661,115,1431
410,1937,122,1207
411,2857,32,1254
412,7542,34,1595
413,5469,5,1477
414,2048,26,1209
415,8506,101,1690
416,4,122,1036
417,2302,10,1222
418,1379,70,1173
419,3370,45,1290
420,4731,26,1434
421,3033,70,1266
422,7189,123,1576
423,3576,115,1373
424,5795,3,1547
425,3997,39,1432
426,5156,45,1509
427,6442,34,1582
428,5706,18,1540
429,464,70,1168
430,1103,62,1210
431,1155,59,1211
432,7460,34,1645
433,2775,54,1299
434,2575,54,1289
435,1334,70,1225
436,4289,92,1456
437,5917,45,1553
438,5066,5,1503
439,3835,78,1420
440,6111,101,1567
441,2779,14,1299
442,4706,32,1486
443,8595,34,1752
444,7356,14,1635
445,7480,68,1644
446,6342,9,1578
447,8737,68,1776
448,35,129,1104
449,6140,59,1565
450,2110,88,1262
451,7890,131,1673
452,4683,12,1480
453,6893,54,1609
454,1965,122,1254
455,1747,7,1250
456,6205,17,1568
457,2796,5,1300
458,8582,91,1751
459,5069,29,1504
460,6038,52,1609
461,957,88,1253
462,7866,115,1721
463,830,45,1243
464,4672,122,1530
465,6906,54,1662
466,348,56,1207
467,4070,132,1490
468,4220,27,1499
469,203,35,1195
470,2685,91,1343
471,6181,94,1620
472,3376,81,1389
473,1158,89,1266
474,3681,122,1441
475,5715,46,1591
476,2189,46,1316
477,2426,107,1331
478,8454,54,1782
479,5587,59,1589
480,6591,17,1642
481,5128,88,1556
482,7101,62,1668
483,6053,68,1609
484,8627,107,1804
485,400,92,1211
486,4962,14,1549
487,1218,97,1266
488,2488,131,1336
489,5040,101,1552
490,5146,54,1562
491,8364,63,1769
492,428,122,1215
493,2761,21,1349
494,2614,55,1340
495,6897,34,1660
496,6644,125,1645
497,8205,13,1750
498,3848,53,1469
499,48,123,1161
500,1000,3,1303
501,920,54,1298
502,6730,68,1700
503,6191,1,1672
504,3138,70,1419
505,3993,89,1532
506,3769,29,1509
507,1,50,1183
508,2646,51,1391
509,7778,46,1761
510,5804,30,1655
511,2541,28,1385
512,3355,86,1436
513,6570,97,1691
514,2652,129,1390
515,5859,88,1650
516,2655,32,1394
517,5575,27,1635
518,1957,14,1359
519,8487,45,1833
520,5791,129,1648
521,8094,34,1785
522,7013,40,1714
523,6434,51,1682
524,7731,54,1758
525,272,10,1251
526,6431,70,1680
527,2535,108,1386
528,3851,30,1517
529,8255,69,1805
530,8171,45,1797
531,7596,68,1749
532,5051,129,1653
533,3038,5,1466
534,8599,27,1900
535,1637,130,1387
536,3106,34,1468
537,4765,50,1637
538,5024,85,1650
539,5016,45,1657
540,8335,50,1863
541,6272,51,1724
542,1235,46,1366
543,582,44,1327
544,8471,70,1882
545,5734,92,1695
546,5667,34,1687
547,4043,57,1587
548,1720,89,1393
549,8054,107,1837
550,6552,13,1740
551,2178,26,1415
552,6061,14,1715
553,2347,82,1424
554,8085,89,1835
555,6647,7,1745
556,1499,55,1383
557,668,128,1334
558,2663,42,1444
559,7062,129,1768
560,7177,45,1781
561,7470,27,1791
562,5262,30,1665
563,2675,70,1444
564,5326,26,1670
565,1446,97,1379
566,3949,101,1627
567,2053,70,1459
568,7182,68,1825
569,5441,70,1726
570,2710,45,1494
571,2344,127,1476
572,949,97,1401
573,264,14,1354
574,7007,92,1813
575,1024,26,1404
576,7556,56,1850
577,7958,89,1873
578,3435,30,1550
579,4232,51,1652
580,6678,89,1795
581,7067,46,1817
582,7526,15,1847
583,3638,92,1582
584,87,14,1324
585,1298,127,1420
586,571,14,1378
587,8062,34,1885
588,2415,89,1481
589,621,97,1379
590,6686,3,1801
591,4314,13,1658
592,6439,129,1784
593,161,128,1337
594,5010,130,1701
595,8230,122,1899
596,527,27,1422
597,3132,127,1568
598,20,101,1348
599,3854,50,1669
600,6616,88,1847
601,7323,26,1884
602,7955,14,1928
603,7779,68,1920
604,3659,94,1640
605,8264,89,1960
606,6422,85,1831
607,5952,85,1805
608,3718,44,1650
609,3609,32,1627
610,2874,46,1558
611,958,59,1453
612,3088,14,1568
613,2562,55,1539
614,1442,27,1481
615,510,50,1421
616,4158,7,1698
617,6801,89,1860
618,7239,116,1879
619,8649,88,2011
620,7673,1,1907
621,5829,122,1801
622,4741,128,1736
623,3692,50,1646
624,8270,1,1952
625,7647,102,1952
626,2190,51,1566
627,7995,107,1976
628,4108,97,1742
629,790,3,1494
630,6691,14,1898
631,7435,26,1941
632,4469,50,1766
633,4865,45,1793
634,7252,130,1927
635,8757,27,2081
636,661,68,1485
637,7393,46,1936
638,5325,101,1821
639,5281,46,1817
640,2345,21,1574
641,4165,3,1749
642,7697,45,1964
643,1250,84,1524
644,1677,68,1539
645,5596,50,1837
646,6580,32,1895
647,7173,27,1926
648,919,122,1498
649,322,54,1456
650,1403,129,1531
651,255,88,1450
652,2172,122,1565
653,6124,1,1866
654,8552,27,2043
655,6212,68,1872
656,4820,11,1790
657,7858,5,2018
658,952,51,1550
659,2405,3,1631
660,250,70,1502
661,1922,70,1602
662,3302,34,1683
663,4754,115,1842
664,7399,27,1986
665,3480,34,1704
666,7401,130,1991
667,4375,27,1811
668,2483,35,1635
669,2464,62,1636
670,8537,88,2092
671,1439,122,1577
672,5835,54,1899
673,6211,40,1921
674,4353,130,1811
675,8077,40,2037
676,7680,107,2007
677,3032,68,1673
678,4059,129,1787
679,2915,44,1659
680,4604,45,1829
681,2142,14,1615
682,7512,97,1998
683,8141,82,2040
684,4223,84,1802
685,7858,130,2020
686,2701,97,1645
687,5816,9,1900
688,8484,14,2084
689,5456,27,1879
690,8237,5,2051
691,5409,40,1877
692,6848,69,1954
693,1149,26,1560
694,3256,43,1682
695,4279,45,1806
696,3057,59,1666
697,5411,70,1881
698,8546,128,2094
699,3570,1,1724
700,6447,95,1935
701,3393,45,1694
702,8249,128,2051
703,1913,115,1653
704,2417,70,1679
705,2417,5,1681
706,4330,54,1858
707,8612,101,2155
708,1178,89,1614
709,5942,26,1955
710,3013,94,1712
711,4756,130,1886
712,3805,118,1819
713,6017,81,1958
714,3790,64,1810
715,4250,75,1853
716,7713,7,2060
717,6028,18,1961
718,3821,68,1817
719,4930,59,1899
720,4210,88,1854
721,4517,62,1871
722,747,123,1592
723,7569,88,2050
724,7713,91,2061
725,7931,92,2072
726,2423,80,1680
727,6109,10,1964
728,7847,59,2070
729,2334,9,1676
730,323,5,1557
731,8424,122,2125
732,8025,11,2079
733,6033,35,1964
734,1132,124,1610
735,6878,10,2059
736,2630,70,1742
737,2834,101,1752
738,801,46,1647
739,3496,51,1812
740,2830,26,1751
741,72,50,1568
742,4428,68,1912
743,4908,130,1945
744,53,59,1561
745,5980,68,2007
746,2771,86,1748
747,7465,26,2093
748,4208,130,1900
749,8459,14,2183
750,4506,97,1921
751,1347,52,1676
752,5518,91,1986
753,5853,45,1999
754,1585,54,1689
755,8175,45,2144
756,2918,70,1760
757,1188,70,1665
758,1009,9,1655
759,8002,89,2129
760,6113,129,2015
761,8498,14,2191
762,6258,92,2024
763,6690,80,2047
764,1028,122,1655
765,7132,1,2070
766,754,1,1638
767,2385,45,1728
768,8769,53,2232
769,7385,12,2095
770,6078,133,2012
771,4509,102,1970
772,4696,14,1981
773,7298,38,2134
774,5052,45,2002
775,4474,88,1972
776,3469,45,1854
777,69,54,1618
778,6531,1,2088
779,7554,89,2150
780,8088,34,2186
781,8644,78,2258
782,4976,59,1999
783,4887,19,1994
784,6432,107,2080
785,1474,46,1728
786,5354,50,2024
787,1571,26,1733
788,4578,14,1973
789,1620,122,1745
790,1929,6,1756
791,8461,1,2227
792,4878,14,1991
793,8300,27,2208
794,2342,50,1775
795,8665,62,2263
796,734,9,1691
797,3807,13,1915
798,7603,127,2152
799,4770,123,1985
800,5285,14,2017
801,4459,127,1967
802,179,5,1641
803,2660,48,1792
804,8507,1,2236
805,6553,46,2090
806,7235,59,2130
807,2329,88,1780
808,8817,53,2296
809,2240,113,1777
810,2099,123,1761
811,5377,115,2073
812,245,88,1700
813,6458,97,2135
814,3404,101,1896
815,1668,130,1788
816,1709,51,1792
817,3464,59,1901
818,7748,59,2210
819,834,51,1745
820,2459,5,1832
821,5914,34,2106
822,5374,92,2073
823,7529,59,2195
824,1555,40,1785
825,6940,70,2161
826,972,92,1754
827,5414,64,2073
828,7926,59,2220
829,1506,95,1781
830,3263,125,1878
831,6295,129,2123
832,5914,9,2105
833,8024,59,2228
834,7167,14,2178
835,4017,12,1984
836,1274,35,1770
837,8754,45,2331
838,8545,51,2292
839,7118,55,2170
840,7268,97,2181
841,7655,52,2253
842,6477,115,2187
843,2484,88,1886
844,1165,89,1814
845,6567,17,2190
846,6909,115,2211
847,3001,51,1911
848,7967,56,2278
849,5291,78,2117
850,5029,14,2102
851,2762,19,1902
852,7096,89,2224
853,3698,5,1995
854,8791,14,2389
855,5584,59,2135
856,1026,88,1806
857,3258,97,1928
858,3605,97,1977
859,7207,13,2229
860,3228,5,1929
861,2890,1,1904
862,6984,45,2216
863,2491,113,1885
864,1764,80,1850
865,7613,58,2300
866,2983,70,1964
867,8331,5,2366
868,494,19,1821
869,2005,97,1909
870,7448,101,2293
871,1319,39,1875
872,6621,132,2244
873,965,91,1853
874,5275,1,2169
875,7440,34,2289
876,8438,40,2375
877,1116,88,1862
878,7410,34,2287
879,8469,51,2381
880,4952,48,2147
881,71,14,1771
882,7391,127,2287
883,5872,45,2203
884,5058,92,2156
885,3589,115,2028
886,3415,7,2000
887,330,50,1808
888,5877,5,2205
889,285,115,1806
890,3439,9,2001
891,3056,17,1974
892,1212,40,1865
893,5516,5,2185
894,7123,27,2269
895,5337,129,2173
896,3547,35,2016
897,8829,80,2453
898,5629,26,2185
899,6162,55,2220
900,7297,117,2285
901,5237,13,2165
902,3380,68,1990
903,6958,123,2261
904,7114,29,2319
905,2487,91,1983
906,1272,7,1918
907,3917,52,2124
908,3548,107,2071
909,4156,70,2146
910,3581,101,2074
911,3535,51,2070
912,3008,70,2012
913,1636,91,1936
914,6097,54,2263
915,1171,21,1912
916,6317,89,2277
917,3938,18,2129
918,4533,14,2172
919,7954,92,2376
920,5627,42,2237
921,4893,27,2194
922,1371,95,1924
923,3093,45,2017
924,2225,97,1970
925,2578,123,1987
926,1826,59,1949
927,8606,14,2454
928,3135,84,2072
929,6112,95,2314
930,3939,70,2175
931,7720,48,2409
932,7992,50,2431
933,7828,130,2419
934,5539,54,2282
935,5879,80,2302
936,6019,91,2311
937,8735,46,2529
938,613,59,1935
939,3219,107,2074
940,1680,129,1991
941,1868,120,2001
942,4828,88,2239
943,4154,93,2195
944,6990,34,2366
945,3407,14,2099
946,6417,34,2333
947,7500,40,2395
948,3085,94,2070
949,2444,131,2031
950,2818,62,2056
951,2953,51,2058
952,3051,51,2069
953,5527,30,2281
954,8475,63,2484
955,2065,101,2014
956,2551,55,2038
957,6004,109,2311
958,3392,9,2094
959,1256,122,1969
960,6009,45,2311
961,8714,64,2527
962,3231,45,2078
963,6240,113,2322
964,5234,18,2263
965,3467,45,2103
966,8441,59,2482
967,511,59,1971
968,8802,89,2593
969,2917,56,2107
970,8736,51,2577
971,6463,34,2383
972,4272,68,2258
973,2074,23,2061
974,2549,54,2086
975,4649,50,2279
976,5787,32,2346
977,1415,45,2030
978,1500,59,2030
979,8794,89,2590
980,6822,14,2404
981,8827,67,2595
982,3018,59,2113
983,3182,68,2126
984,5905,88,2355
985,2224,80,2068
986,1090,122,2007
987,7312,45,2436
988,3595,122,2174
989,4859,11,2292
990,1398,14,2028
991,4575,45,2276
992,6080,101,2360
993,1781,115,2095
994,800,70,2043
995,3078,70,2166
996,30,3,1954
997,3475,48,2209
998,2203,14,2117
999,4931,26,2344
1000,2782,14,2148
1001,2955,91,2158
1002,5758,118,2396
1003,5182,68,2361
1004,6427,89,2430
1005,1418,91,2076
1006,6091,92,2419
1007,7557,94,2496
1008,6114,59,2412
1009,3412,54,2194
1010,5399,54,2373
1011,447,59,2015
1012,1112,59,2058
1013,6759,54,2449
1014,6760,46,2451
1015,4640,14,2326
1016,145,34,1990
1017,7214,5,2477
1018,8389,14,2568
1019,253,81,2003
1020,782,18,2043
1021,8096,27,2538
1022,1216,68,2064
1023,6452,68,2433
1024,2922,27,2158
1025,2777,91,2150
1026,4101,70,2292
1027,1849,97,2101
1028,1604,131,2087
1029,2876,44,2153
1030,6995,14,2463
1031,1991,59,2109
1032,4061,7,2290
1033,6067,88,2412
1034,8775,70,2636
1035,2804,89,2154
1036,6779,8,2451
1037,585,38,2027
1038,950,27,2054
1039,5187,121,2365
1040,2272,13,2125
1041,2695,14,2143
1042,859,45,2047
1043,5747,127,2394
1044,4115,52,2340
1045,7006,52,2513
1046,278,70,2053
1047,647,115,2083
1048,5528,51,2432
1049,5260,54,2416
1050,5957,91,2457
1051,748,127,2089
1052,7800,1,2563
1053,8674,101,2665
1054,5704,1,2440
1055,7606,45,2557
1056,8198,59,2596
1057,8162,85,2595
1058,3909,115,2323
1059,1145,14,2114
1060,1641,19,2137
1061,6513,40,2487
1062,4572,128,2373
1063,7633,127,2554
1064,4804,130,2389
1065,8699,130,2671
1066,39,59,2005
1067,4586,45,2381
1068,6622,51,2495
1069,8209,9,2597
1070,6435,14,2482
1071,4362,34,2361
1072,4675,27,2385
1073,7929,5,2573
1074,7504,12,2545
1075,3396,46,2243
1076,449,61,2066
1077,6064,128,2461
1078,2828,12,2206
1079,883,14,2101
1080,8571,27,2651
1081,2785,48,2251
1082,4127,52,2394
1083,1616,97,2186
1084,8272,56,2654
1085,1842,54,2200
1086,2793,130,2249
1087,6318,89,2527
1088,2199,86,2216
1089,6225,130,2518
1090,4411,97,2413
1091,8425,54,2673
1092,1494,26,2180
1093,6736,52,2550
1094,2269,91,2221
1095,2899,94,2258
1096,7783,27,2615
1097,8073,27,2634
1098,8634,32,2706
1099,8780,38,2736
1100,8195,68,2645
1101,6763,88,2551
1102,2930,117,2259
1103,1080,130,2158
1104,2852,88,2253
1105,1512,13,2180
1106,4945,14,2448
1107,7738,129,2609
1108,4082,12,2388
1109,339,34,2108
1110,2536,5,2239
1111,4685,127,2436
1112,153,8,2086
1113,674,109,2137
1114,8258,49,2653
1115,3829,92,2378
1116,7851,50,2617
1117,2839,50,2253
1118,6814,18,2602
1119,681,52,2183
1120,8211,52,2696
1121,3921,70,2427
1122,8637,115,2761
1123,2995,127,2310
1124,4929,26,2494
1125,5838,130,2548
1126,5939,70,2553
1127,5986,102,2556
1128,6278,115,2580
1129,248,14,2153
1130,2654,89,2297
1131,4100,68,2444
1132,8137,85,2693
1133,5909,32,2551
1134,6429,68,2582
1135,3985,26,2434
1136,2493,32,2283
1137,4109,45,2443
1138,6390,14,2585
1139,19,101,2095
1140,1392,27,2224
1141,6746,13,2599
1142,7627,34,2650
1143,2207,129,2266
1144,6634,40,2596
1145,4717,80,2483
1146,7704,92,2658
1147,3039,51,2315
1148,2159,88,2265
1149,4534,26,2472
1150,4629,13,2475
1151,1252,45,2217
1152,6627,26,2592
1153,2263,40,2270
1154,4579,53,2475
1155,6322,48,2624
1156,3245,5,2377
1157,7296,92,2681
1158,2950,128,2359
1159,3225,14,2375
1160,6819,19,2655
1161,1837,50,2299
1162,8233,68,2748
1163,4668,45,2528
1164,1574,54,2283
1165,8450,97,2776
1166,3452,88,2402
1167,4966,5,2550
1168,5569,51,2585
1169,862,34,2249
1170,210,86,2198
1171,2482,92,2333
1172,794,122,2242
1173,4966,40,2550
1174,1039,107,2258
1175,286,130,2204
1176,7081,14,2667
1177,5393,91,2577
1178,2206,122,2317
1179,3843,115,2469
1180,7265,27,2679
1181,559,97,2226
1182,1006,14,2254
1183,6908,107,2660
1184,4535,50,2521
1185,8790,95,2839
1186,8739,91,2831
1187,4231,38,2501
1188,6664,9,2649
1189,7550,95,2696
1190,6601,7,2646
1191,2150,14,2315
1192,1659,34,2292
1193,1265,40,2271
1194,826,27,2245
1195,6819,122,2652
1196,6333,13,2625
1197,4588,123,2523
1198,8478,11,2782
1199,85,49,2173
1200,406,51,2262
1201,2766,79,2402
1202,5662,97,2638
1203,8401,45,2822
1204,3460,26,2453
1205,4775,92,2585
1206,7431,59,2739
1207,2749,46,2396
1208,8449,130,2830
1209,3283,92,2434
1210,2898,89,2407
1211,3533,78,2465
1212,1736,62,2346
1213,3052,50,2419
1214,4580,26,2574
1215,6771,35,2700
1216,923,13,2300
1217,2369,91,2376
1218,2291,14,2374
1219,3913,45,2525
1220,3767,1,2514
1221,8713,39,2922
1222,3216,64,2479
1223,4652,89,2629
1224,1213,130,2365
1225,767,5,2343
1226,974,70,2354
1227,5799,34,2702
1228,866,92,2349
1229,7984,88,2827
1230,8133,14,2839
1231,7485,64,2792
1232,7190,40,2777
1233,899,51,2350
1234,6418,45,2732
1235,7676,92,2808
1236,2618,69,2442
1237,5840,86,2699
1238,4083,35,2590
1239,503,92,2369
1240,7518,40,2846
1241,1867,1,2452
1242,7392,92,2839
1243,6754,101,2804
1244,659,59,2381
1245,8343,89,2917
1246,3818,89,2619
1247,7640,68,2855
1248,5950,34,2756
1249,3179,34,2525
1250,7387,101,2845
1251,1662,110,2438
1252,1949,32,2456
1253,7607,18,2854
1254,4971,54,2697
1255,655,59,2383
1256,2137,68,2465
1257,8089,13,2885
1258,2000,35,2456
1259,2826,68,2502
1260,7916,30,2872
1261,8049,122,2885
1262,4576,51,2672
1263,7461,101,2849
1264,410,12,2365
1265,3314,89,2538
1266,3110,35,2518
1267,2495,130,2483
1268,8609,113,2951
1269,8100,50,2885
1270,2098,33,2463
1271,2698,49,2498
1272,2136,29,2514
1273,8835,92,3048
1274,4051,92,2687
1275,7383,19,2889
1276,5694,40,2790
1277,741,84,2443
1278,5724,127,2793
1279,2367,6,2528
1280,5541,14,2784
1281,5452,72,2776
1282,5653,92,2787
1283,7381,70,2885
1284,6571,130,2842
1285,8028,91,2930
1286,5661,91,2790
1287,2333,34,2527
1288,863,88,2453
1289,8040,92,2931
1290,988,115,2453
1291,2628,50,2543
1292,553,17,2426
1293,1724,34,2493
1294,2212,3,2518
1295,7705,14,2907
1296,526,26,2424
1297,2255,32,2523
1298,6154,22,2816
1299,7344,68,2885
1300,8243,45,2953
1301,6381,92,2829
1302,1787,63,2495
1303,8568,1,2998
1304,4371,123,2710
1305,8809,92,3042
1306,5673,14,2791
1307,1627,29,2486
1308,4196,54,2750
1309,8290,89,3004
1310,4196,97,2748
1311,6311,34,2877
1312,3977,107,2732
1313,2370,115,2583
1314,6441,14,2883
1315,2627,27,2589
1316,3900,88,2723
1317,6923,130,2910
1318,8247,64,3003
1319,1309,68,2521
1320,8078,91,2986
1321,8366,89,3017
1322,7222,54,2932
1323,6395,32,2878
1324,7126,107,2922
1325,6083,27,2862
1326,246,107,2451
1327,6692,14,2896
1328,7322,89,2932
1329,2229,50,2570
1330,1920,68,2553
1331,4049,51,2739
1332,680,26,2485
1333,4168,66,2745
1334,5356,11,2824
1335,736,129,2491
1336,4215,30,2752
1337,6869,101,2910
1338,4161,35,2744
1339,5949,89,2854
1340,1162,27,2513
1341,3827,35,2717
1342,4185,52,2796
1343,4516,54,2819
1344,7797,102,3017
1345,8297,92,3060
1346,4270,101,2808
1347,1356,59,2572
1348,2070,26,2613
1349,579,88,2531
1350,3208,15,2676
1351,3990,89,2784
1352,3090,40,2674
1353,5055,34,2853
1354,4063,14,2786
1355,453,32,2516
1356,3927,46,2782
1357,8810,88,3142
1358,3331,92,2690
1359,4373,32,2810
1360,5545,107,2891
1361,86,13,2472
1362,1565,27,2585
1363,162,9,2490
1364,4116,59,2793
1365,1093,7,2557
1366,2615,122,2638
1367,457,48,2520
1368,2056,68,2618
1369,7001,105,2962
1370,3607,89,2740
1371,4919,94,2845
1372,8664,41,3112
1373,1774,45,2595
1374,5832,30,2898
1375,2326,29,2625
1376,137,45,2484
1377,1542,124,2582
1378,6115,5,2962
1379,2419,3,2679
1380,8160,52,3096
1381,478,130,2567
1382,5489,54,2934
1383,3100,45,2721
1384,5211,127,2915
1385,7707,50,3063
1386,5421,58,2923
1387,8032,68,3086
1388,3737,19,2803
1389,6705,56,3003
